X Field,X轴字段
Student ID: ,学生卡：
Student and Guardian Contact Details,学生和监护人联系方式
"Students are at the heart of the system, add all your students",学生在系统的心脏，添加所有的学生
Student Address,学生地址
Student Name,学生姓名
Student Name: ,学生姓名：
Student Activity,学生学习系统访问记录
Student Report Generation Tool,学生学籍报告生成工具
Student is already enrolled.,学生已经注册。
Total Student,学生总数
Total Students,学生总数
Student Mobile No.,学生手机号
Student Mobile Number,学生手机号
Student Batches,学生批
Student Batch,学生批号
Student Batch Name,学生批号
"Student Batches help you track attendance, assessments and fees for students",学生批帮助您跟踪学生的出勤，评估和费用
Student Report Card,学生报表卡
Student Batch-Wise Attendance,学生按批考勤
Get Students From,学生来源
Student Monthly Attendance Sheet,学生每月考勤表
Enroll Students,学生注册
Student Application,学生申请
Student Applicant,学生申请人
Student Email,学生电子邮件
Student Email ID,学生的电子邮件ID
Guardian Student,学生监护人
Student Guardian,学生监护人
Student Category,学生类别
Student Details,学生细节
Student Attendance,学生考勤
Student Attendance Tool,学生考勤工具
Student Batch Attendance Tool,学生考勤批处理工具
Student Language,学生语言
Student Leave Application,学生请假申请
Student Log,学籍记录
Program Enrollment Fee,学费
Institute's Bus,学院的巴士
IT,它
Security,安全
Safety Stock,安全库存
Security Settings,安全设置
Andhra Pradesh,安德拉邦
Schedule Admission,安排入场
Installation Note {0} has already been submitted,安装单{0}已经提交了
Setup Complete,安装完成
Install Apps,安装应用程序
Install Applications.,安装应用程序。
Installation Date,安装日期
Installation Time,安装时间
Installation Status,安装状态
Installation Note,安装通知单
Installation Note Item,安装通知单项
Installing presets,安装预置参数
Failed to install presets,安装预设值失败
Andaman and Nicobar Islands,安达曼和尼科巴群岛
Arial,宋体
Fully Billed,完全开票
Fully Sponsored,完全赞助
Manufactured Qty,完工数量
Produced,完工数量
Produced Qty,完工数量
Completed Work Orders,完工生产工单
Complete,完成
Complete By,完成日期
Completed By,执行人
Completion By,完成日期,
Done,完成
Finish,完成
Is Completed,完成了
Please confirm once you have completed your training,完成培训后请确认
Complete Setup,完成安装
Total Completed Qty,完成总数量
Completed Qty can not be greater than 'Qty to Manufacture',完成数量不能大于“订单数量”
Completion Date,完成日期
Complete Registration,完成注册
Completion Status,完成状态
Percent Complete,完成百分比
% Complete Method,完成百分比法
Total completed qty must be greater than zero,已完成总数量必须大于零
Go to this URL after completing the form (only for Guest users),完成表单后转到此网址（仅限访客用户）
Define various loan types,定义不同的借款类型
Defines actions on states and the next step and allowed roles.,定义切换到工作流状态的操作，下一个状态和被允许的角色。
Defines workflow states and rules for a document.,定义单据工作流状态和规则。
Define workflows for forms.,定义表单工作流。
Define Project type.,定义项目类型。
Define budget for a financial year.,定义预算财年。
Pricing,定价
Jump to field,定位到字段
Customization,定制
Customize,定制
Customize...,定制...
Customized HTML Templates for printing transactions.,定制HTML模板打印交易。
Customize Workspace,定制工作区
Customizations Saved Successfully,定制已保存
Customize Shortcuts,定制快速访问
Customize Form,定制表单
Customize Form Field,定制表单字段
Qualitative Feedback,定性反馈
Regular,定期
Fixed Deposit Number,定期存款编号
Intern,实习生
Entity,实体
Entity Name,实体名称
Entity Type,实体类型
Implementation Partner,实施服务商
Actual,实际
Shift Actual Start,实际上班时间
Shift Actual End,实际下班时间
Actual Delivery Date,实际交货日期
Actual Operation Time,实际工序时间
Actual qty in stock,实际库存数量
Actual Start Date,实际开始日期
Actual start date and actual end date is mandatory,实际开始日期和实际结束日期必须填写
Actual start date must be less than actual end date,实际开始日期必须小于实际结束日期
Actual Start Date (via Time Sheet),实际开始日期（工时表）
Actual Start Time,实际开始时间
Total Actual Amount,实际总金额
Actual Cost,实际成本
Actual Qty,实际数量
Actual Quantity,实际数量
Actual Qty {0} / Waiting Qty {1},实际数量{0} /在途数量{1}
Actual Qty is mandatory,实际数量是必须项
Actual Qty (at source/target),实际数量（源/目标）
Actual Qty: Quantity available in the warehouse.,实际数量：仓库中的可用数量。
Actual Date,实际日期
Actual Time (in hours),实际时间(小时)
Actual Time and Cost,实际时间和成本
Actual Time (in Hours),实际时间（小时）
Actual type tax cannot be included in Item rate in row {0},实际税额不能包含在第{0}行的物料单价中
Actual End Date,实际结束日期
Actual End Date (via Time Sheet),实际结束日期（工时表）
Actual End Time,实际结束时间
Actual Operating Cost,实际工费成本
Actual Amount,实际金额
Laboratory,实验室
Lab Prescription,实验室处方
Lab Routine,实验室常规
Lab Technician,实验室技术员
Lab Test,实验室测试
Lab Test UOM,实验室测试UOM
Laboratory User,实验室用户
Laboratory SMS Alerts,实验室短信
Laboratory Settings,实验室设置
Lab result datetime cannot be before testing datetime,实验结果日期时间不能在测试日期时间之前
Approving User cannot be same as user the rule is Applicable To,审批与被审批用户不能相同
Approving Role cannot be same as role the rule is Applicable To,审批与被审批角色不能相同
Approver,审批人
Verified By,审批人
Approval Status,审批状态
Approval Status must be 'Approved' or 'Rejected',审批状态必须被“已批准”或“已拒绝”
Review Level,审查级别
Review Invitation Sent,审核邀请已发送
Auditor,审计员
Guest Name,客人姓名
Client,客户
Customer,客户
Customers,客户
Customer ID,客户
Customer &gt; Customer Group &gt; Territory,客户&gt;客户组&gt;区域
Customer / Item Name,客户/物料名称
Customer / Lead Name,客户/线索名称
Customer / Lead Address,客户/线索地址
Customer GSTIN,客户GSTIN
Customer PO,客户PO
Customer POS Id,客户POS ID
Customer PO Details,客户PO详细信息
Customer {0} does not belong to project {1},客户{0}不属于项目{1}
Customer {0} is created.,客户{0}已创建。
Credit limit has been crossed for customer {0} ({1}/{2}),客户{0}（{1} / {2}）的信用额度已超过
Customer Primary Contact,客户首选联系人
Customer Primary Address,客户首选地址
Customer Warehouse (Optional),客户仓库（可选）
Customer Code,客户代码
Client Information,客户信息
Customer Credit Balance,客户剩余信用额度
Customer Feedback,客户反馈
Customer Feedback Template,客户反馈模板
Customer Feedback Template Table,客户反馈模板表
Customer Feedback Table,客户反馈表
Invoices for Costumers.,客户发票。
Customer Ledger Summary,客户台账汇总
Customer Name,客户名称
Customer and Supplier,客户和供应商
Customers and Suppliers,客户和供应商
Customer Territory,客户地区
Customer Address,客户地址
Customer Address And Contacts,客户地址与联系人
Customer Addresses And Contacts,客户地址和联系方式
Perception Analysis,客户意向分析
Customer or Supplier Details,客户或供应商详细信息
Customer or Item,客户或物料
Customer Mobile No,客户手机号
Customerwise Discount,客户折扣
Classification of Customers by region,客户按区域分类
Customer Provided,受托加工材料
Customer Database.,客户数据库。
Customer database.,客户数据库。
Customer is required,客户是必须项
Customer isn't enrolled in any Loyalty Program,客户未参与任何积分方案
Blanket Orders from Costumers.,客户框架订单。
No issue raised by the customer.,客户没有提出任何问题。
Customer Items,客户物料
Item Customer Detail,客户物料信息
Customer's Item Code,客户物料编号
Customer's Supplier,客户的供应商
Rate at which customer's currency is converted to company's base currency,客户的货币转换为公司的本币后的单价
Client Secret,客户秘密
Client ID,客户端ID
Client Credentials,客户端凭证
Client Key,客户端密钥
Client key is required,客户端密钥是必需的
Client URLs,客户端网址
Client Script,客户端脚本
Customer Type,客户类型
Customer Group,客户组
Customer Groups,客户组
Customer Group / Customer,客户组/客户
Customer Group Name,客户组名称
Customer Group will set to selected group while syncing customers from Shopify,客户组将在同步Shopify客户的同时设置为选定的组
Account Manager,客户经理
Customer Naming By,客户编号生成方式
Customer Contact,客户联系人
Customer Contact Email,客户联系电子邮件
Customer Acquisition and Loyalty,客户获得和忠诚度
Customer Settings,客户设置
Customer Details,客户详细信息
Rate at which Customer Currency is converted to customer's base currency,客户货币转换为客户币别后的单价
Customer Credit Balance,客户剩余信用额度
Customer's Purchase Order,客户采购订单
Customer LPO,客户采购订单号
Customer LPO No.,客户采购订单号
Customer's Purchase Order No,客户采购订单号
Customer's Purchase Order Date,客户采购订单日期
Customer POS id,客户销售点代码
Rooms Booked,客房预订
Support Tickets,客服工单
Furnitures and Fixtures,家具及固定装置
Family,家庭
Home Address is required,家庭地址是必需的
Family Background,家庭背景
Parents Teacher Meeting Attendance,家长会出席情况
Total Parents Teacher Meeting,家长会总数
Attended by Parents,家长参会次数
Container,容器
Capacity,容量
Width,宽度
Widths can be set in px or %.,宽度可以设置为px像素或%百分比。
Grace Period,宽限期
Boarding Student,寄宿学生
Density (if liquid),密度（如果液体）
Password,密码
Password cannot be more than 100 characters long,密码不能超过100个字符长
Password for Base DN,密码基础DN
Brute Force Security,密码安全强化措施
Password Policy,密码政策
Password Update,密码更新
Password Updated,密码已更新
Password not found,密码未找到
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,密码策略不能包含空格或同时连字符。格式将自动重组
Password Reset,密码重置
Password reset instructions have been sent to your email,密码重置说明已发送到您的电子邮箱
Wrong Password,密码错误
Secret Key,密钥
Rich Text,富文本
Markdown Editor,富文本编辑器
Widow,寡妇
Pair,对
Settings for OAuth Provider,对OAuth的提供商设置
Payment against {0} {1} cannot be greater than Outstanding Amount {2},对{0} {1}的付款不能大于总未付金额{2}
More than one selection for {0} not \			allowed,对{0}的多个选择不是\允许的
New Comment on {0}: {1},对{0}的新评论：{1}
"Sorry, you're not authorized.",对不起，你未被授权。
"For {0}, only debit accounts can be linked against another credit entry",对于{0}，借方分录只能选择借方科目
Start Time can't be greater than or equal to End Time \					for {0}.,对于{0}，开始时间不能晚于或等于结束时间\。
"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",对于{1}的第{0}行。要在物料单价中包括{2}，也必须包括第{3}行
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",对于“套件”物料，仓库，序列号和批号信息维护在“装箱单”中。如果仓库和批号是“套件”中所含物料共用的，可以在订单物料清单表中输入这些值，系统会自动将其复制到“装箱单”。
{0} is required for 'Profit and Loss' account {1}.,对于“损益”类科目{1}{0}必填。
{0} is required for 'Balance Sheet' account {1}.,对于“资产负债表”类科目{0}{1}必填。
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.",对于基于课程的班级，课程将从入学课程中的每个学生确认。
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",对于多等级积分方案，系统会根据客户消费金额自动匹配相应积分等级
"For job card {0}, you can only make the 'Material Transfer for Manufacture' type stock entry",对于加工单{0}，您只能选择“工单发料”类型物料移动
For Quantity must be less than quantity {0},对于数量必须小于数量{0}
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},对于财年{4}，{1}&#39;{2}&#39;和科目“{3}”已存在另一个预算记录“{0}”
"For currency {0}, the minimum transaction amount should be {1}",对于货币{0}，最小交易金额应为{1}
"For e.g. 2012, 2012-13",对例如2012，2012-13
"Support for public app is deprecated. Please setup private app, for more details refer user manual",对公共应用程序的支持已被弃用。请设置私人应用程序，更多详细信息请参阅用户手册
Against Document Detail No,对单据信息编号
Suppliies made to Composition Taxable Persons,对合成纳税人的补贴
Bills raised to Customers.,对客户开出的发票。
Statement Headers,对账单抬头
Statement Header Mapping,对账单抬头对照关系
To Folio No,对开本No
Sum of points for all goals should be 100. It is {0},对所有目标点的总和应该是100。{0}
Against Supplier Invoice {0} dated {1},对日期为{1}的供应商发票{0}
Mapped Items,对照关系
Settings for website homepage,对网站的主页设置
For {0} at level {1} in {2} in row {3},对行{3}，{2}中级别{1}的{0}
Conversation Tones,对话音
Statement of Account,对账单
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",对链接类型字段，此处填写链接的单据类型;对于单选字段，填写单选值清单，用回车键分行
Against Voucher,对销凭证
Against Journal Entry {0} is already adjusted against some other voucher,对销凭证{0}已经被其他凭证调整
Against Voucher Type,对销凭证类型
Contra Entry,内部转账
Align Value,对齐值
Align Value,对齐方式
Import,导入
Import,导入
Importing {0} of {1},导入{1}的{0}
Import Master Data,导入主数据
Import Zip,导入压缩文件
Submit after importing,导入后提交
Import Failed!,导入失败！
Import Successful,导入成功
Import Successfull,导入成功
Import Successful!,导入成功！
Import Data,导入数据
Import File,导入文件
Import Log,导入日志
Import Day Book Data,导入日记簿数据
Importing Items and UOMs,导入物料和单位
Import Status,导入状态
Import Email From,导入电子邮件..
Import Type,导入类型
Import Attendance,导入考勤记录
Import Subscribers,导入订阅者
Export,导出
Export 1 record,导出 1 笔记录
Export {0} records,导出 {0} 笔记录
Export All {0} rows?,导出全部{0}行？
Export Errored Rows,导出出错记录
Export Custom Permissions,导出客户许可
Export Report:,导出报表:
Export Report: {0},导出报表 {0}
Export Data,导出数据
Export Type,导出类型
Export Customizations,导出自定义
Navigating,导航
Navigate list up,导航列表
Navigate Home,导航到主页
Navbar Style,导航样式
Package Code,封装代码
Closed Document,封闭文件
Connect Amazon with ERPNext,将Amazon与ERPNext连接起来
Connect Shopify with ERPNext,将Shopify与ERPNext连接
Update Price from Shopify To ERPNext Price List,将Shopify更新到ERPNext价格表
Reverting length to {0} for '{1}' in '{2}';							Setting the length as {3} will cause truncation of data.,将“{2}”中的“{1}”的长度恢复为{0};将长度设置为{3}将导致数据截断。
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials",将一组物料组合成一个新物料。即将一组物料组合打包/包装，然后维护这个套件的库存。套件物料属性为：“允许库存”（取值“否”），或“允许销售”（取值“是”）。例如：你分别销售笔记本电脑和背包，并且如果有客户采购两种而使用单独的价格，那么笔记本电脑+背包将是一个新的套件物料。注：物料BOM =Bill of Materials
Submit After Import,将上传单据状态设为已提交
Include holidays in Total no. of Working Days,将假期包含在工作日内
Add meta tags to your web pages,将元标记添加到您的网页
Message will sent to users to get their status on the project,将向用户发送消息以获取其在项目上的状态
Embed image slideshows in website pages.,将图片幻灯片嵌入网站页面。
Will show the student as Present in Student Monthly Attendance Report,将在每月学生考勤表显示学生出勤状态为出勤
Table for Item that will be shown in Web Site,将在网站显示的物料表
Copy Fields to Variant,将字段复制到多规格物料
Group your students in batches,将学生按批号分组
Adds a client custom script to a DocType,为单据类型添加Javascript脚本
Connect your bank accounts to ERPNext,将您的银行账户连接到ERPNext
Make all attachments private,将所有附件设为仅上传者可查看
New data will be inserted.,将插入新数据。
Will be your login ID,将是您的登录ID
The name that will appear in Google Calendar,将显示在Google日历中的名称
Align Labels to the Right,将标签对齐
Setting this Address Template as default as there is no other default,将此地址模板设置为默认，因为没有其他的默认项
Convert Item Description to Clean HTML,将物料描述转换为HTML
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.",将用于创建客户，物料和销售订单的用户。该用户应具有相关权限。
"Add users to your organization, other than yourself.",将用户添加到您的组织，而不是您自己。
Add Users to Marketplace,将用户添加到网上交易市场
Copy and paste this code into and empty Code.gs in your project at script.google.com,将该代码复制并粘贴到script.google.com中的项目中的Code.gs并将其清空
Leave the field empty to make purchase orders for all suppliers,将该字段留空为所有供应商下达采购订单
"This will be appended to the Item Code of the variant. For example, if your abbreviation is ""SM"", and the item code is ""T-SHIRT"", the item code of the variant will be ""T-SHIRT-SM""",将追加到多规格物料。例如，如果你的英文简称为“SM”，而该物料编号是“T-SHIRT”，该多规格物料将是“T-SHIRT-SM”
Send Notifications To,将通知发给
Block Holidays on important days.,将重要日期设为禁止休假日。
Set Project and all Tasks to status {0}?,将项目和所有任务设置为状态{0}？
Small,小
<=,小于等于
Less Than Amount,小于金额
Miss,小姐
Hour,小时
Hours,小时
In Hours,小时
Subtotal,小计
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",尚不支持通过“原生打印命令”进行PDF打印。请在“打印机设置”中删除打印机映射，然后重试。
Not Saved,尚未保存
All the mandatory Task for employee creation hasn't been done yet.,尚未全部完成创建新员工时必要任务。
Yet to appear,尚未出现
You haven\'t created a {0} yet,尚未创建{0}
Try to use a longer keyboard pattern with more turns,尝试使用更多的匝数较长的键盘模式
Try planning operations for X days in advance.,尝试将工序提前X天。
Attempting Connection to QZ Tray...,尝试连接QZ托盘......
Employment Type (optional),就业类型（可选）
Studying in Same Institute,就读于同一研究所
Try to avoid repeated words and characters,尽量避免重复的单词和字符
Tree Details,层级结构
align-center,居中对齐
Exhibition,展会
Expand,展开
Expand All,展开全部
Exploded_items,展开物料
Changes in Exploded Items,展开的下层物料变更
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,属于本机构的，带独立科目表的法人/附属机构。
Attribute,属性
Attributes,属性
Property,属性
Attribute {0} selected multiple times in Attributes Table,属性{0}多次选择在属性表
Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},属性{1}的属性值{0}不是物料{2}的有效属性
Attribute Value,属性值
Attribute Name,属性名称
Property Type,属性类型
Attribute table is mandatory,属性表中的信息必填
Bio / Cover Letter,履历/求职信
Fulfilment Deadline,履行截止日期
Fulfilment Terms,履行条款
Fulfilment Terms and Conditions,履行条款和条件
Fulfilment Status,履行状态
Fulfilment Details,履行细节
Post,岗位
Child Tables are shown as a Grid in other DocTypes,嵌入其它单据类型中作为表格，一对多关系中的多这一方
Nested set error. Please contact the Administrator.,嵌套错误。请联系管理员。
State/UT Tax,州/ UT税
No of Visits,巡修次数
Jobs,工作
Work Address,工作地址
Working Days,工作日
Workday {0} has been repeated.,工作日{0}已重复。
Job Offer,工作机会
"Job profile, qualifications required etc.",工作概况，要求的学历等。
Workflow,工作流
Workflow Document State,工作流单据状态
Workflow Name,工作流名称
Workflow Action Master,工作流操作主数据
Workflow Action Name,工作流操作名称
"Actions for workflow (e.g. Approve, Cancel).",工作流操作（例如审批，取消） 。
Workflow State,工作流状态
Workflow State Field,工作流状态字段
Workflow state represents the current state of a document.,工作流状态表明单据目前的状态。
"States for workflow (e.g. Draft, Approved, Cancelled).",工作流状态（例如草稿，已批准，已取消） 。
Workflow,工作流
Workflow State {0} is not allowed,工作流状态{0}不被允许
Workflow State not set,工作流状态未设置
Workflow Transition,工作流状态转换
Shift Request,工作班次申请
Tools,工具
Material Transfer for Manufacture,工单发料
Material Transferred for Manufacture,已发到工单的物料
Work Order Operation,工单工序
Qty To Manufacture,工单数量
Work Order Qty,工单数量
Work Order Item,工单明细
Plant,工厂
Registration Details,工商注册信息
Operations,工序
Operation,工序
Operation ID,工序ID
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations",工序{0}时间超过任何工站开工时间{1}，请分解成多个工序
Operation Time must be greater than 0 for Operation {0},工序{0}的时间必须大于0
Operation Time,工序时间
Operation Description,工序说明
Time Between Operations (in mins),工序间等待时间（分钟）
Working hours below which Half Day is marked. (Zero to disable),工时低于标记的半天。 （设为零不启用此功能）
Time Sheet,工时表
Time Sheets,工时表
Timesheet,工时表
Timesheets,工时表
Timesheet {0} is already completed or cancelled,工时表{0}已完成或取消
Maintain Billing Hours and Working Hours Same on Timesheet,工时表上的可开票工时应与实际工时相同
"Timesheets help keep track of time, cost and billing for activites done by your team",工时表可用于记录团队工时，发生的费用以及据此开票
Timesheet Detail,工时表明细
Max working hours against Timesheet,工时表最长工时
Time Sheet List,工时表清单
Working Hours Calculation Based On,工时计算基准
Time Logs,工时记录
Types of activities for Time Logs,工时记录作业类型
Duration (Days),工期(天）
For Job Card,加工单
Job Card,加工单
Job Card Time Log,加工单工时记录
"Start date and end date is overlapping with the job card <a href=""#Form/Job Card/{0}"">{1}</a>","加工单的开始和结束日期<a href=""#Form/Job Card/{0}"">{1}</a>重叠"
Job Card Item,加工单明细
Job Card Operation,加工单工序
Job Card For Operations,加工单（工序管理）
Engineer,工程师
Workstation,工站
Workstation Name,工站名称
Workstation Working Hour,工站工作时时
Workstation is closed on the following dates as per Holiday List: {0},工站的假期表{0}设定以下日期停工
Routing,工艺路线
Routing Name,工艺路线名称
Salary,工资
Wages,工资
Payslip,工资单
Payslip,已关联工资单,Timesheet
Salary Slip,工资单
Salary Slip Timesheet,工资单工时表
Salary Slips Created,工资单已创建
Salary Slip ID,工资单编号
Payroll Setup,工资单设置
Salary Slip Loan,工资单借款
Salary Mode,工资发放方式
Payroll Frequency,工资发放频率
Salary Register,工资台账
Payroll Number,工资号码
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.",工资已经结算了与{0}和{1}，不可在此期间再申请休假。
Gross Pay,工资总额
Gross Pay - Total Deduction - Loan Repayment,工资总额 - 扣除总额 - 借款还款
Payroll Date,工资日期
Payroll date can not be less than employee's joining date,工资日期不能低于员工的加入日期
Payroll Period,工资期间
Payroll Periods,工资期间
Payroll Period Date,工资期间日期
Payroll,薪资
Payroll Entry,工资计算
Left,左
align-left,左对齐
Left,左边
Difference,差异
Variance,差异
Difference (Dr - Cr),差异(借方-贷方)
Diff Qty,差异数量
Difference Account,差异科目
"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry",差异科目必须是资产/负债类科目，因为物料移动凭证是开账凭证
Difference Amount (Company Currency),差异金额（本币）
Variance ({}),差异（{}）
Travel Expenses,差旅费
Difference Amount must be zero,差异金额必须是零
Difference Amount,差额
uploaded file,已上传文件
Ordered,已下单
% Ordered,已下单%
Ordered Quantity,采购数量
A new document {0} has been shared by with you {1}.,已与您{1}分享了一个新单据{0}。
Lost Quotation,未成交报价
{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. \				You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.,已为{3}的子公司计划{2}的{0}空缺和{1}预算。 \根据母公司{3}的员工计划{6}，您只能计划最多{4}个职位空缺和预算{5}。
Stock Entries already created for Work Order ,已为工单创建的物料移动
A new account has been created for you at {0},已为您创建新账户{0}
PO already created for all sales order items,已为所有销售订单行创建采购订单
Enabled email inbox for user {0},已为用户{0}启用电子邮件收件箱
"An amount of {0} already claimed for the component {1},\						 set the amount equal or greater than {2}",已为组件{1}申请的金额{0}，设置等于或大于{2}的金额
Communicated via {0} on {1}: {2},已于{1} {2}通过{0}沟通
Cost Center with existing transactions can not be converted to ledger,已产生业务交易的成本中心不能转化为记账成本中心
Transactions already retreived from the statement,已从报表中检索到的交易
Paid,已付款
Paid and Not Delivered,已付款未出货
Is Paid,已付款
Used Leaves,已休假(天数)
disabled user,已禁用用户
Taken,已使用
Employee record is created using selected field. ,使用所选字段值员工号。
Supplied Qty,已发料数量
Saved,已保存
Filters saved,已保存过滤条件
Stopped,已停止
Booked Fixed Asset,已入账固定资产
Fully Delivered,已全部出货
Account with existing transaction cannot be converted to ledger,已关联过账交易的科目不能被转换为记账科目
Closed,已关闭
Frozen,已冻结？
Sold,已出售
Delivered,已出货
%  Delivered,已出货%
Delivered Qty,已出货数量
Delivered Amount,已出货金额
Delivered: {0},已出货：{0}
Allocated,已分配
Allocated Leaves,已分配休假天数
Allocated Amount,已分配金额
Invoice Created,已创建发票
Job card {0} created,已创建加工单{0}
All bank transactions have been created,已创建所有银行交易流水
Payment request {0} created,已创建收付款申请{0}
Work Orders Created: {0},已创建生产工单：{0}
Sales Invoice {0} created,已创建销售发票{0}
Initiated,已初始化
Deleted,已删除
{0} records deleted,已删除{0}条记录
Deleted Documents,已删除单据
Rows Removed,已删除行
Published,已发
Is Published,已发布
Is Published Field must be a valid fieldname,已发布字段必须是有效字段
Transferred Qty,已发料数量
Cost of Issued Items,已发料物料成本
Is Sent,已发送
Sent,已发送
Sent/Received Email,已发送/已接收电子邮件
Print Sent to the printer!,已发送到打印机！
Sent or Received,已发送或已接收
Cancelled,已取消
Cancelled Document restored as Draft,已取消的单据已恢复为草稿
"Renamed files and replaced code in controllers, please check!",已变更文件名并替换了控制器类中的代码，请检查！
Enabled,已启用
Queued for updating latest price in all Bill of Materials. It may take a few minutes.,已启用后台程序更新所有物料清单中的最新价格。可能需要几分钟。
Active Domains,已启用的行业
Replied,已回复
Wrapping up,已圆满完成
Account Number {0} already used in account {1},已在科目{1}中使用的科目代码{0}
Processed Files,已处理的文件
Married,已婚
Direct room with {0} already exists.,已存在{0}的私人聊天室。
Staffing Plan {0} already exist for designation {1},已存在人员配置计划{0}以用于指定{1}
A customer with the same name already exists,已存在同名客户
A Default Service Level Agreement already exists.,已存在默认服务级别协议。
Archived,已存档
Discharge Scheduled,已安排出院
App {0} already installed,已安装App {0}
Installed Apps,已安装应用
Installed Qty,已安装数量
% Installed,已安装％
Completed,已完成
% Completed,已完成%
Work Done,已完成工作
Details of the operations carried out.,已完成工序详情。
Completed Qty,已完成数量
Achieved,已实现
Fulfilled,已履行
List of patches executed,已应用补丁列表
Invoiced,已开发票
Job Started,已开始
Billed,已开票
Is Invoiced,已开票
% Amount Billed,已开票%
% Billed,已开票%
Billed Amount,已开票金额
Billed Amt,已开票金额
Score Earned,已得分数
Leaves Allocated Successfully for {0},已成功为{0}分配假期
Structures have been assigned successfully,已成功分配薪资结构
{0} has been submitted successfully,已成功提交{0}
Packed Item,套件明细
Packed Items,套件明细
In print,已打印
Actions performed,已执行的操作
Admitted,已批准
Approved,已批准
Quoted Item Comparison,已报价物料对比
"Cannot declare as lost, because Quotation has been made.",已报价，不能更改状态为未成交。
Scrapped,已报废
Accepted,接受
Accepted Quantity,允收数量
Received and Accepted,已接收
Accepted + Rejected Qty must be equal to Received quantity for Item {0},已接收+已拒收数量须等于物料{0}的已接收数量
Accepted Qty,已接收数量
Submitted,已提交
Tax Declaration of {0} for period {1} already submitted.,已提交期间{1}的税务申报{0}。
"Meaning of Submit, Cancel, Amend",已提交，取消，修订的含义
Fully Depreciated,已提足折旧
Recd Quantity,已收到数量
Certificate Received,已收到证书
Received Qty,已收数量
% Received,已收货%
Updated,已更新
Delivery Notes {0} updated,已更新出货单{0}
Warehouses with existing transaction can not be converted to ledger.,已有业务交易的仓库不能转换到记账仓库。
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,已有物料移动交易后不能更改物料的属性。请创建一个新物料并将库存转移到新物料
Cannot set as Lost as Sales Order is made.,已有销售订单时不能更改其状态为未成交。
Marked Attendance,已标记的考勤
Sanctioned Amount,已核准金额
Reconciled,已核销
Reconciled Transactions,已核销交易
Allocated amount,已核销金额
Allocated amount can not greater than unadjusted amount,已核销金额不能超过未调整金额
Following Material Requests have been raised automatically based on Item's re-order level,已根据物料的重订货点设置自动生成了以下物料需求
Already Registered,已注册
Registered,已注册
Registered but disabled,已注册但被禁用
Enrolled courses,已注册课程
Consumed,已耗用
Consumed Qty,已耗用数量
{0} {1} added,已添加{0} {1}
Added {0} ({1}),已添加{0}（{1}）
Attached To DocType,已添加到单据类型
Attached To Name,已添加到名称
Property already added,已添加属性
Is Active,生效
Active,生效
Claimed,已申报
Applied,已申请
Requested Items To Be Transferred,待调拨物料需求
Requested Items To Be Ordered,待采购物料需求
Material Requested,已申请物料
Logged in,已登录
Attendance Marked,已登记考勤
Leave Blocked,已禁止请假
Signed,已签
Lapsed,已终止
Work Order already created for all items with BOM,已经为定义了物料清单的所有物料创建了生产工单
"Already set default in pos profile {0} for user {1}, kindly disabled default",已经在用户{1}的pos配置文件{0}中设置了默认值，请禁用默认值
Already in user's To Do list,已经在用户的待办列表
Already completed,已经完成
Settled,已结清
You are connected to internet.,已联网。
Debit Note {0} has been created automatically,已自动创建扣款单{0}
Auto Material Requests Generated,已自动生成物料需求
Odometer Value (Last),已行驶里程
Number of Depreciations Booked,已记账折旧次数
Visited yet,已访问
Is Discounted,已贴现
Discounted Invoice,已贴现发票
Goods Transferred,已调拨
Converted,已转化
Per Transferred,调拨%
Material Transferred,已调拨物料
Expired,已过期
Unsubscribed,已退订
Visited,已送达
{0} items selected,已选{0}条记录
